c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme,c_DépartementResponsable
"MKG 3315","Marketing de tourisme et hôtellerie","Cours sans examen",535,"Gestion du tourisme",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",4397,Administration,Administration
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",4397,Administration,Administration
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",4480,"Administration de services",Administration
"FRA 3006","Rédaction administrative","Cours sans examen",4480,"Administration de services",Administration
"ADM 1101","Management dans les établissements de santé et de services sociaux","Cours sans examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 2220","Pratique de la gestion dans le domaine de la santé et des services sociaux","Cours sans examen",4459,"Gestion des services de santé et des services sociaux",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",4459,"Gestion des services de santé et des services sociaux",Administration
"FRA 3006","Rédaction administrative","Cours sans examen",4459,"Gestion des services de santé et des services sociaux",Administration
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",4459,"Gestion des services de santé et des services sociaux",Administration
"RIN 1013","Problèmes de santé au travail","Cours sans examen",4459,"Gestion des services de santé et des services sociaux",Administration
"MKG 3315","Marketing de tourisme et hôtellerie","Cours sans examen",4734,"Gestion du tourisme",Administration
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",4734,"Gestion du tourisme",Administration
"FRA 3006","Rédaction administrative","Cours sans examen",4386,"Gestion du travail de bureau",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",4084,Management,Administration
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",4084,Management,Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",7764,"Administration (cheminement général)",Administration
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 2014","Devenir entrepreneur","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen",7764,"Administration (cheminement général)",Administration
"POL 1010","Introductioon aux relations internationales","Cours sans examen",7764,"Administration (cheminement général)",Administration
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 4051","Intervention en management","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 4061","Observation en management","Cours sans examen",7764,"Administration (cheminement général)",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2014","Devenir entrepreneur","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
